Step,AgentID,first_odor_concentration,olfactory_activation,first_odor_concentration_change,turner_activation,turner_activity,torque,orientation_to_center,centroid_x,centroid_y,bend,front_orientation,rear_orientation,dst_to_center,scaled_dst_to_center
51,Larva_0,1.7728836089001296,-0.0838016442619907,-0.0034447495665497437,0.4971794246180785,-3.001647249975372,-1.2306753724899024,159.10000157927388,5.0107156017248276,1.8165214949550152,-8.418286099336393,359.0269677298692,7.445253829205594,5.329823747836527,1.5329381379780729
52,Larva_0,1.7705578504338682,-0.07830071295871241,-0.0013118506226724893,15.42291763812191,16.344266644512018,6.701149324249927,162.94565721611454,5.05456853779434,1.8186157880375067,-4.434899126402625,2.7342081178671642,7.169107244269773,5.371780569583953,1.5450055561982503
53,Larva_0,1.7661684903332413,-0.07585729130292226,-0.0024790831316532547,18.224948750436543,1.4165651481184809,0.5807917107285772,166.6043942596512,5.273843894303142,1.8410755951383835,-1.1640437631542802,5.84826316663732,7.01230692979158,5.585963548797349,1.606607829158075
54,Larva_0,1.751287375818362,-0.08639606739193338,-0.00842564828685824,23.349252679247293,-1.2021805260103031,-0.49289401566422425,169.1217132134576,5.511262196825734,1.8740268159964435,1.0959124304483296,7.901588467340869,6.805676036892536,5.821167194750052,1.674255964655753
55,Larva_0,1.7353124675327507,-0.09718226383603384,-0.009121808622726114,17.26716509252222,2.911992399667137,1.1939168838635261,171.66319751491724,5.730345585966841,1.9131519980162355,3.1082484504703,10.125469554743802,7.017221104273492,6.041275618784759,1.7375624854070284
56,Larva_0,1.7201171056714548,-0.10592552034669173,-0.008756556611905459,17.24002715631442,0.1793718574505303,0.07354246155471741,173.45928889013604,5.808761286590392,1.9295838995942687,4.260712514908873,11.835006861875334,7.574294346966475,6.120866091507368,1.7604539123713285
57,Larva_0,1.7144151063821693,-0.1022518763966209,-0.003314890172584906,27.40885101452718,-3.540865749357106,-1.4517549572364132,173.942424536016,5.841971271093852,1.9368154780052167,4.435366425035994,12.284568361870582,7.8492019368346115,6.154663478056822,1.7701745532887085
58,Larva_0,1.712053314770782,-0.09487330683168763,-0.0013776077932323746,25.638901196662502,-1.2369550049826772,-0.5071515520428976,174.07700642050656,5.932327629892001,1.9565664116176227,4.359695807813665,12.33030025902922,7.970604451215531,6.246652161874415,1.796631893785875
59,Larva_0,1.7057980073083736,-0.09286027024761957,-0.0036536873054364037,22.013017793198387,-1.0073274893172117,-0.4130042706200568,174.0633623511957,6.127620518615229,1.9985304122340826,3.831825494482382,12.127158172107821,8.295332677625426,6.445297280093363,1.8537652422881767
60,Larva_0,1.6921738346865476,-0.09974969933723346,-0.00798697885884155,15.28420540412875,2.0431570723547665,0.8376943996654542,174.59179913636828,6.362426650942788,2.0503884586392953,3.542388060484838,12.45412205830766,8.911733997822813,6.684651503253425,1.9226071467352257
61,Larva_0,1.67537145671926,-0.10968306576913547,-0.00992946328732242,11.90942714358723,-6.436901014121549,-2.639129415789835,173.55318527875443,6.595696396716513,2.0965206904727025,1.588941286611884,11.186663921937134,9.597722635325226,6.920882166547797,1.990550667995341
62,Larva_0,1.6587564448077483,-0.11839969191784748,-0.009917210804132591,5.249997085589396,-4.520347572691612,-1.8533425048035606,171.67752390718152,6.708626018546326,2.1147585628325265,-0.7280717397302213,9.173926351318565,9.901998091048805,7.034050528379095,2.023099605084324
63,Larva_0,1.6510308299717222,-0.1157120178057115,-0.00465747389269163,17.81723676568473,-4.4254635231037165,-1.8144400444725237,169.19851228388498,6.754180247274959,2.1200494365388334,-3.2100180482555145,6.62490780597717,9.834925854232672,7.079093192355066,2.036054558326995
64,Larva_0,1.6484994102199528,-0.10712361345814675,-0.0015332359068139026,6.191387374657868,-44.287055898640396,-18.15769291844256,157.13563683298378,6.833873783543314,2.1121092510940542,-15.406201524497988,354.31017049059955,9.71637201509752,7.1528201695525455,2.057259555056902
65,Larva_0,1.6493748231628327,-0.095388491154897,0.0005310362487561016,9.80201722595525,-3.3947993795710616,-1.391867745624135,147.92306131348528,7.018986294804724,2.0600050634309324,-24.44320341586734,344.2795185397128,8.722721955580111,7.315038582811278,2.1039160307926217
66,Larva_0,1.6453295535371177,-0.09052605958168272,-0.002452607842017228,18.77307734414457,0.12844551425753004,0.05266266084558731,141.59461054553205,7.238121821134081,1.966041960308155,-28.14641457775427,336.7908346047201,4.937249182474361,7.5003818894286765,2.1572235765530428
67,Larva_0,1.6386352115755165,-0.08915370363632935,-0.004068693683408158,22.453380339467017,-0.3798059233649953,-0.15572042857964807,136.74524086752604,7.380564757221509,1.8873756554745658,-28.443094389442784,331.08964880177706,359.5327431912198,7.618065568135933,2.191071187251453
68,Larva_0,1.6360377912358472,-0.08320054100855677,-0.001585112001329377,11.557010935838836,-1.238688421900668,-0.5078622529792738,132.65894213271696,7.4522961164125565,1.839947594300251,-29.277741454533068,326.5277189751982,355.8054604297313,7.676074814413219,2.2077555262054216
69,Larva_0,1.6373410853710808,-0.07340668246328284,0.0007966161553328552,38.31998603811975,3.5024538616128567,1.436006083261271,130.1941061705902,7.470498588250945,1.8266909011535732,-29.84342122850306,323.9344925234792,353.7779137519822,7.690588326351672,2.211929832339932
70,Larva_0,1.6398203370566207,-0.06329264682894488,0.0015141937789815948,2.716478582039638,-0.3899030104886976,-0.159860234300366,128.16345361003187,7.470498588250944,1.8266909011535732,-31.33288058424509,321.90383996292087,353.23672054716593,7.690588326351671,2.2119298323399317
